"","Age","Temperature"
"1",0,1.26402908438663
"2",0.002,1.25934551808513
"3",0.004,1.25466808820736
"4",0.0059,1.25023569242749
"5",0.006,1.25000279191687
"6",0.007,1.24767661562213
"7",0.008,1.24535573094169
"8",0.01,1.24073305828251
"9",0.0118,1.236598431767
"10",0.012,1.23614075237276
"11",0.013,1.23385789963228
"12",0.015,1.2293226199174
"13",0.016,1.22707168747783
"14",0.0179,1.22282908011565
"15",0.018,1.22260712215691
"16",0.02,1.21819724641801
"17",0.0214,1.21514618841726
"18",0.023,1.21169840177813
"19",0.024,1.20956609122592
"20",0.026,1.20535693861224
"21",0.027,1.20328163329276
"22",0.028,1.20122686222326
"23",0.03,1.19718192134712
"24",0.0305,1.19618470332036
"25",0.032,1.19322820828737
"26",0.033,1.19128746644802
"27",0.0335,1.19032646452001
"28",0.036,1.18561878710453
"29",0.0361,1.18543398225108
"30",0.037,1.18378296781829
"31",0.0388,1.18054986788473
"32",0.04,1.17844726678093
"33",0.041,1.17672852135676
"34",0.042,1.17504092957101
"35",0.0423,1.17454085477412
"36",0.044,1.17176230237216
"37",0.0457,1.16908043332482
"38",0.047,1.16709713308956
"39",0.048,1.1656125219165
"40",0.0486,1.16473925062303
"41",0.05,1.16275356227386
"42",0.0507,1.16178852246716
"43",0.052,1.16004662335572
"44",0.0529,1.15887973084558
"45",0.055,1.1562845973444
"46",0.0551,1.15616555935566
"47",0.056,1.15511321715826
"48",0.0569,1.15409533707369
"49",0.057,1.15398437857418
"50",0.06,1.15086096616294
"51",0.0607,1.15019049680321
"52",0.061,1.14991003835067
"53",0.064,1.14733854393537
"54",0.0645,1.14695199050137
"55",0.065,1.14657768522617
"56",0.068,1.14459459360123
"57",0.069,1.14403594982818
"58",0.0705,1.14329659036997
"59",0.072,1.14267778738261
"60",0.0741,1.14201897969696
"61",0.076,1.14163675055212
"62",0.077,1.14151905671255
"63",0.0799,1.14151142020213
"64",0.08,1.14152017907802
"65",0.0829,1.14204135289604
"66",0.083,1.14206866944597
"67",0.084,1.14237669220695
"68",0.086,1.14318507345967
"69",0.087,1.14368692604737
"70",0.088,1.14425492945015
"71",0.089,1.14488986862906
"72",0.0894,1.14516271277313
"73",0.09,1.14559243687335
"74",0.091,1.14636341233776
"75",0.092,1.14720360013544
"76",0.0929,1.14801925866685
"77",0.095,1.15013650196659
"78",0.096,1.15124687850487
"79",0.0967,1.15206220121565
"80",0.098,1.15365757380886
"81",0.099,1.15495482685832
"82",0.1,1.15631131949908
"83",0.1004,1.15687013673071
"84",0.101,1.15772549154017
"85",0.104,1.16229895188197
"86",0.1062,1.16595020716739
"87",0.108,1.16911190615268
"88",0.109,1.1709326258057
"89",0.112,1.17665222169599
"90",0.113,1.17863948205242
"91",0.114,1.1806645686014
"92",0.1155,1.18376972828223
"93",0.116,1.18482203231799
"94",0.118,1.18911239623747
"95",0.1188,1.19086299356604
"96",0.119,1.19130355712273
"97",0.12,1.19352337447715
"98",0.1217,1.19735842888067
"99",0.122,1.1980427773801
"100",0.124,1.20265834300639
"101",0.1244,1.20359190485178
"102",0.126,1.20735783403292
"103",0.1269,1.20949671345674
"104",0.128,1.2121290017952
"105",0.131,1.21939340529132
"106",0.1312,1.2198814195208
"107",0.132,1.22183743907681
"108",0.133,1.22429023094777
"109",0.135,1.22921592406782
"110",0.136,1.23168574599291
"111",0.137,1.23415822399144
"112",0.14,1.24157601814434
"113",0.141,1.24404366784344
"114",0.143,1.24896234502522
"115",0.144,1.25141032936924
"116",0.1447,1.25311825260922
"117",0.145,1.25384865956037
"118",0.1466,1.25772619232964
"119",0.148,1.26109069016831
"120",0.1482,1.26156892259703
"121",0.149,1.26347528413026
"122",0.1498,1.26537057826109
"123",0.151,1.268191104998
"124",0.152,1.27051927676648
"125",0.1521,1.27075093660047
"126",0.153,1.27282562583724
"127",0.1548,1.27691703588609
"128",0.156,1.27959813636888
"129",0.157,1.28180173917667
"130",0.1575,1.28289254632594
"131",0.16,1.28822933011517
"132",0.1602,1.28864739928524
"133",0.161,1.29030573906849
"134",0.163,1.29435007630183
"135",0.164,1.29631499048903
"136",0.1655,1.29918645669989
"137",0.166,1.30012262822298
"138",0.167,1.30196227217102
"139",0.1677,1.30322345800274
"140",0.168,1.30375713049806
"141",0.1698,1.30687005852545
"142",0.171,1.30885755329717
"143",0.172,1.31045785721659
"144",0.1741,1.3136459736012
"145",0.176,1.31631927094571
"146",0.1763,1.31672231417698
"147",0.18,1.32124343756967
"148",0.1808,1.32210717732324
"149",0.181,1.32231655746287
"150",0.183,1.32426257393235
"151",0.184,1.32513307713369
"152",0.186,1.32667561961138
"153",0.1873,1.32754368456754
"154",0.188,1.3279693205097
"155",0.189,1.32852875110791
"156",0.19,1.32903300443417
"157",0.191,1.32948448464862
"158",0.192,1.32988554290898
"159",0.1938,1.33048786419
"160",0.194,1.33054578666445
"161",0.195,1.33080967703861
"162",0.1955,1.33092611188608
"163",0.196,1.33103258250321
"164",0.1969,1.33120006709093
"165",0.199,1.33147882018562
"166",0.1996,1.33153194634388
"167",0.2,1.33156127598886
"168",0.202,1.33164090405984
"169",0.2024,1.33164445459743
"170",0.204,1.33162251859972
"171",0.205,1.33158244483657
"172",0.2051,1.33157744867965
"173",0.2079,1.33137614352678
"174",0.208,1.33136712832735
"175",0.2115,1.3310025179098
"176",0.212,1.33094594941365
"177",0.214,1.33072036530724
"178",0.216,1.3305099034161
"179",0.2161,1.33050009716107
"180",0.217,1.33041623168916
"181",0.219,1.33026381782526
"182",0.22,1.33020978715717
"183",0.222,1.33015786322615
"184",0.2223,1.33015737875848
"185",0.224,1.33019645261663
"186",0.225,1.33025560781491
"187",0.2256,1.33030521444176
"188",0.228,1.33062079233858
"189",0.2289,1.33079197409292
"190",0.229,1.33081293303352
"191",0.232,1.33163361519933
"192",0.2321,1.33166778861003
"193",0.235,1.33287021561249
"194",0.2354,1.33306993032139
"195",0.236,1.33338581990872
"196",0.238,1.33458632632992
"197",0.2387,1.33506257913361
"198",0.24,1.33602824573809
"199",0.242,1.33773041191571
"200",0.2427,1.33839117280023
"201",0.243,1.33868500919253
"202",0.244,1.33971172840426
"203",0.2451,1.34092727560697
"204",0.2473,1.34364129595206
"205",0.248,1.34458713733657
"206",0.2493,1.34645348462326
"207",0.2515,1.34994948783907
"208",0.252,1.35080533994365
"209",0.2535,1.3535141415475
"210",0.255,1.35644094215794
"211",0.2557,1.35788362662155
"212",0.256,1.35851714947532
"213",0.2576,1.36205391065374
"214",0.259,1.36537200358699
"215",0.2599,1.36761833021767
"216",0.26,1.36787350112192
"217",0.2619,1.37293741981593
"218",0.2627,1.37519469489229
"219",0.263,1.37606066758705
"220",0.264,1.37902515201314
"221",0.2651,1.38242666651214
"222",0.266,1.38532137351803
"223",0.2669,1.3883184423102
"224",0.267,1.38865785943663
"225",0.268,1.39212301011447
"226",0.2697,1.39831025193941
"227",0.27,1.39943976991611
"228",0.272,1.40724479428262
"229",0.2724,1.40886120537232
"230",0.273,1.41131912606347
"231",0.2752,1.42065848056695
"232",0.276,1.42417554484526
"233",0.2779,1.43276808847123
"234",0.278,1.43322926404734
"235",0.28,1.44262720719316
"236",0.2825,1.45480383876469
"237",0.283,1.45729076807008
"238",0.284,1.46231174583369
"239",0.287,1.47771091992429
"240",0.2872,1.47875344345067
"241",0.288,1.48294105965399
"242",0.29,1.49352001168342
"243",0.291,1.49885979809452
"244",0.292,1.50422712496613
"245",0.294,1.5150264042162
"246",0.2941,1.51556813618837
"247",0.296,1.52588185805385
"248",0.2965,1.52860026388523
"249",0.299,1.54219154403118
"250",0.3,1.54761716462463
"251",0.3018,1.55734761326165
"252",0.303,1.56379826545836
"253",0.304,1.56914504155301
"254",0.305,1.57446082572378
"255",0.3059,1.5792148245555
"256",0.308,1.5901773597811
"257",0.3105,1.60294293125538
"258",0.312,1.61042611072861
"259",0.3152,1.6258673213314
"260",0.316,1.62960317399984
"261",0.318,1.63869984723287
"262",0.3199,1.64699399710221
"263",0.32,1.64742054341823
"264",0.322,1.65572929586615
"265",0.324,1.66359011624667
"266",0.3245,1.66548112402815
"267",0.325,1.66734129123968
"268",0.327,1.67446264192561
"269",0.328,1.67782384300136
"270",0.3292,1.68167339912972
"271",0.331,1.68705543467748
"272",0.332,1.68983364435858
"273",0.333,1.69245485634931
"274",0.3338,1.69443575133512
"275",0.335,1.69720827010242
"276",0.336,1.69933148052455
"277",0.3387,1.70417725034468
"278",0.34,1.70602925947561
"279",0.3405,1.70665524641402
"280",0.341,1.7072324362465
"281",0.343,1.70904175784244
"282",0.344,1.70963892527161
"283",0.3442,1.70973318334051
"284",0.346,1.71019569033859
"285",0.347,1.71014631485552
"286",0.348,1.70987242757326
"287",0.349,1.7093695098224
