"","Age","Delta.13_C"
"1",0,1.08316975761976
"2",0.432656132430399,0.994972863841628
"3",0.489089541008277,0.99302779535877
"4",0.564334085778781,0.995597211755824
"5",0.658389766741911,1.00700293455036
"6",0.696012039127163,1.01353382177684
"7",0.771256583897667,1.02924896341508
"8",0.921745673438675,1.0696375111765
"9",0.978179082016554,1.08755753569256
"10",1.03461249059443,1.1067733115871
"11",1.05342362678706,1.11338717168436
"12",1.07223476297968,1.12008204872765
"13",1.09104589917231,1.12685640346744
"14",1.22272385252069,1.1775956602814
"15",1.27915726109857,1.20156438530055
"16",1.31677953348382,1.21837041586355
"17",1.33559066967645,1.22693710611173
"18",1.42964635063958,1.2694124987847
"19",1.4484574868322,1.27745295469948
"20",1.56132430398796,1.31964280587282
"21",1.67419112114372,1.3475153321014
"22",1.71181339352897,1.35252147455623
"23",2.59593679458239,1.10932052952854
"24",2.72761474793077,1.06872349284424
"25",2.87810383747178,1.04029497948055
"26",3.00978179082017,1.0354013815421
"27",3.1038374717833,1.0409351792727
"28",3.83747178329571,1.1186082011534
"29",3.91271632806622,1.10877076655928
"30",3.98796087283672,1.09202772828549
"31",4.15726109857035,1.0284433559654
"32",4.40180586907449,0.879717252279979
"33",4.58991723100075,0.715789711736458
"34",4.92851768246802,0.272285121386998
"35",5.17306245297216,-0.235291279120258
"36",5.30474040632054,-0.593421029233082
"37",5.37998495109105,-0.828382828842054
"38",5.45522949586155,-1.08738542939313
"39",5.56809631301731,-1.52444911332782
"40",5.64334085778781,-1.8498605397337
"41",5.69977426636569,-2.11200299460742
"42",5.81264108352145,-2.68157330428366
"43",5.96313017306245,-3.52189101468435
"44",6.03837471783296,-3.96712963813473
"45",6.09480812641084,-4.30813429868263
"46",6.15124153498871,-4.65248117266176
"47",6.18886380737397,-4.88266242726764
"48",6.22648607975922,-5.11266402154227
"49",6.47103085026336,-6.56906706100668
"50",6.52746425884124,-6.88693993639658
"51",6.58389766741911,-7.19533215149568
"52",6.62151993980436,-7.39530819121855
"53",6.64033107599699,-7.49354976485815
"54",6.65914221218962,-7.5905861939813
"55",6.67795334838224,-7.68638522708963
"56",7.05417607223476,-9.3168252032803
"57",7.09179834462002,-9.44697130091697
"58",7.11060948081264,-9.5096010300575
"59",7.12942061700527,-9.57057999421844
"60",7.24228743416102,-9.90133170051988
"61",7.37396538750941,-10.2105790195495
"62",7.54326561324304,-10.4872997570549
"63",7.61851015801354,-10.5671009759434
"64",8.03235515425132,-10.6039789621179
"65",8.05116629044394,-10.5925916345242
"66",8.12641083521445,-10.5387633185478
"67",8.22046651617758,-10.457434889907
"68",8.25808878856283,-10.4221677325341
"69",8.38976674191121,-10.2972816381635
"70",8.40857787810384,-10.2801023176567
"71",8.52144469525959,-10.1848255411989
"72",8.63431151241535,-10.1047372500139
"73",8.72836719337848,-10.0504488385599
"74",8.76598946576373,-10.0319964871216
"75",8.80361173814899,-10.015318069727
"76",9.0293453724605,-9.94770397951272
"77",9.29270127915726,-9.92356783172713
"78",9.48081264108352,-9.926489789046
"79",9.49962377727615,-9.92719135717763
"80",10.0451467268623,-9.95549213127542
"81",10.2144469525959,-9.96351050344778
"82",10.4213694507148,-9.97058161473641
"83",11.0233258088789,-9.97438436124756
"84",11.0421369450715,-9.97427121789932
"85",11.719337848006,-9.93320071585549
"86",11.7381489841986,-9.93042880933705
"87",12.0015048908954,-9.88328961322453
"88",12.1519939804364,-9.85497522128786
"89",12.6222723852521,-9.78744525745007
"90",13.0549285176825,-9.74353775368513
"91",13.5063957863055,-9.73198775357375
"92",13.9202407825433,-9.79118612495269
"93",14.033107599699,-9.82795342803672
"94",14.1271632806622,-9.86517864526889
"95",14.2964635063958,-9.94257205293367
"96",14.9736644093303,-10.1995804191076
"97",15.0300978179082,-10.2048248304635
"98",15.142964635064,-10.2046421671282
"99",16.0270880361174,-9.85135948284516
"100",16.0647103085026,-9.82852388773025
"101",17.0428893905192,-9.1728256166754
