Lineage,Speciation_Rate,Extinction_Rate,Net.diversification_Rate,Taxonomic.group,Biogeographic.origin,Habitat,tip_names
Nyctibatrachidae,0.0841007260940888,0.00490354504371509,0.0791971810503737,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_pillai_CESF863
Nyctibatrachidae,0.0853603107014673,0.00497698590618447,0.0803833247952828,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeNyctibatrachus_periyar
Nyctibatrachidae,0.0848208516436699,0.00494553241092938,0.0798753192327405,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_deveni_CESF992
Nyctibatrachidae,0.0788335390655333,0.00459643843420379,0.0742371006313295,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_aliciae_1_CESF781
Nyctibatrachidae,0.094160098978836,0.00549006302450754,0.0886700359543284,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_aliciae_CESF597
Nyctibatrachidae,0.0864117795018977,0.00503829244733375,0.0813734870545639,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_poocha_1_CESF973
Nyctibatrachidae,0.0800215894411152,0.00466570844888062,0.0753558809922346,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_poocha_CESF707
Nyctibatrachidae,0.0849341448726306,0.00495213804297512,0.0799820068296555,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_mewasinghi_CESF2534
Nyctibatrachidae,0.0783363947626471,0.00456745212700234,0.0737689426356447,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_athirappillyensis_CESF993
Nyctibatrachidae,0.0839390952963265,0.00489412105971295,0.0790449742366135,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_kempholeyensis_CESF789
Nyctibatrachidae,0.0861751686969342,0.00502449670746498,0.0811506719894692,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_humayuni_CESF2665
Nyctibatrachidae,0.0836272528537985,0.00487593889251302,0.0787513139612855,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_petraeus_CESF2565
Nyctibatrachidae,0.0767431327811515,0.00447455599809185,0.0722685767830597,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_jog_CESF2598
Nyctibatrachidae,0.085160469538379,0.00496533404311142,0.0801951354952675,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_danieli_CESF2651
Nyctibatrachidae,0.0958766437442086,0.00559014723266457,0.0902864965115441,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_indraneili_1_CESF2610
Nyctibatrachidae,0.0997786577756198,0.00581765658309309,0.0939610011925267,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_karnatakaensis_CESF2593
Nyctibatrachidae,0.107216059798692,0.0062512989251051,0.100964760873587,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_sanctipalustris_CESF951
Nyctibatrachidae,0.103284422702862,0.00602206238351598,0.0972623603193459,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_sanctipalustris_2_CESF2547
Nyctibatrachidae,0.0912682655399078,0.00532145288063267,0.0859468126592751,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_sanctialustris_1_CESF886
Nyctibatrachidae,0.112492249466924,0.00655893043911152,0.105933319027813,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_kumbara_CESF2600
Nyctibatrachidae,0.0976768949640543,0.00569511199761369,0.0919817829664406,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_dattatreyaensis_1_CESF2615
Nyctibatrachidae,0.0907760670105675,0.00529275493982809,0.0854833120707394,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_dattatreyaensis_CESF796
Nyctibatrachidae,0.101069134078823,0.00589289860506475,0.0951762354737582,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_shiradi_3_CESF2587
Nyctibatrachidae,0.112004041106788,0.00653046514759943,0.105473575959189,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_shiradi_2_CESF2599
Nyctibatrachidae,0.110776827964096,0.00645891172347441,0.104317916240621,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_vrijeuni_CESF831
Nyctibatrachidae,0.0996535433443388,0.0058103617085076,0.0938431816358312,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_shiradi_1_CESF905
Nyctibatrachidae,0.0989268720767255,0.00576799268913994,0.0931588793875856,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_shiradi_CESF803
Nyctibatrachidae,0.0874801385251439,0.00510058378340956,0.0823795547417343,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_radcliffei_CESF1621
Nyctibatrachidae,0.0930415043445605,0.00542484266994495,0.0876166616746155,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_grandis_1_CESF2518
Nyctibatrachidae,0.0873036959111731,0.00509029618726838,0.0822133997239048,Herpetofauna,Gondwanan,Wet,NyctibatrachidaeN_major_CESF856
